,hid,name,full_name,begin_time,end_time
0,-2,Mariner 2,Mariner 2 (spacecraft), 1962-AUG-27 07:19:25.7038 UT, 1962-DEC-31 23:59:25.5602 UT
1,-3,Mars Orbiter Mission (MOM),Mars Orbiter Mission (MOM) (spacecraft), 2013-NOV-05 09:52:42.4130 UT, 2022-FEB-22 00:00:00.0000 UT
2,-5,Planet-C,Planet-C (spacecraft), 2010-MAY-21 00:51:00.0000 UT, 2026-FEB-01 00:00:00.0000 UT
3,-6,Pioneer 6,Pioneer 6 (spacecraft), 1996-JAN-01 00:00:00.0000 UT, 1999-DEC-29 23:59:58.0000 UT
4,-12,LADEE,LADEE (spacecraft), 2013-SEP-07 03:51:00.0000 UT, 2014-APR-18 04:31:59.9994 UT
5,-18,LCROSS Shepherd,LCROSS Shepherd (spacecraft), 2009-JUN-18 22:16:39.8460 UT, 2009-OCT-09 11:36:00.0000 UT
6,-18900,LCROSS Centaur Impactor,LCROSS Centaur Impactor (spacecraft), 2009-OCT-09 01:48:53.8177 UT, 2009-OCT-09 11:32:00.0000 UT
7,-20,Pioneer 8,Pioneer 8 (spacecraft), 1997-JUL-01 00:00:00.0000 UT, 1999-DEC-30 23:57:59.0000 UT
8,-21,SOHO,SOHO (spacecraft), 1995-DEC-02 00:00:00.0000 UT, 2022-MAR-07 23:50:00.0000 UT
9,-23,Pioneer 10,Pioneer 10 (spacecraft), 1972-MAR-03 02:04:00.0000 UT, 2050-JAN-01 00:08:50.8161 UT
10,-24,Pioneer 11,Pioneer 11 (spacecraft), 1973-APR-06 02:25:00.0000 UT, 2050-JAN-01 00:08:50.8161 UT
11,-25,Lunar Prospector (LP),Lunar Prospector (LP) (spacecraft), 1998-JAN-07 03:43:56.8159 UT, 1998-JAN-20 00:03:56.8155 UT
12,-29,Stardust (bus),Stardust (bus) (spacecraft), 1999-FEB-07 21:31:06.5150 UT, 2011-MAR-12 23:58:53.8145 UT
13,-29900,Stardust (SRC),Stardust (SRC) (spacecraft), 2005-DEC-27 23:58:55.8162 UT, 2006-JAN-15 10:03:54.8157 UT
14,-30,Deep Space 1,Deep Space 1 (spacecraft), 1998-OCT-24 17:58:56.8176 UT, 2003-DEC-30 23:58:55.8161 UT
15,-31,Voyager 1,Voyager 1 (spacecraft), 1977-SEP-05 13:58:36.2005 UT, 2030-DEC-31 23:58:50.8161 UT
16,-32,Voyager 2,Voyager 2 (spacecraft), 1977-AUG-20 15:31:44.0002 UT, 2030-DEC-31 23:58:50.8161 UT
17,-37,Hayabusa 2,Hayabusa 2 (spacecraft), 2014-DEC-03 06:13:46.0000 UT, 2031-MAY-31 23:58:50.8151 UT
18,-39,Ouna,Ouna (spacecraft), 2007-OCT-12 04:28:33.0000 UT, 2022-DEC-31 23:58:22.9991 UT
19,-40,Clementine,Clementine (spacecraft), 1994-FEB-19 12:57:00.0000 UT, 1994-MAY-03 12:59:59.9996 UT
20,-41,Mars Express,Mars Express (spacecraft), 2003-JUN-02 19:11:16.4111 UT, 2026-JAN-01 11:59:59.9991 UT
21,-45,Janus-A,Janus-A (spacecraft), 2022-AUG-01 11:58:54.8170 UT,
22,-47,Genesis (bus),Genesis (bus) (spacecraft), 2001-AUG-11 15:58:56.8170 UT, 2020-JAN-01 23:58:50.8161 UT
23,-48,Hubble Space Telescope HST,Hubble Space Telescope, 1990-APR-25 02:00:42.8861 UT, 2022-FEB-21 09:42:33.7160 UT
24,-49,Lucy,Lucy (spacecraft), 2021-OCT-16 10:31:59.1010 UT, 2033-APR-03 17:53:45.7382 UT
25,-47900,Genesis (SRC),Genesis (SRC) (spacecraft), 2004-AUG-09 15:08:55.8169 UT, 2004-SEP-08 15:59:55.8175 UT
26,-53,Mars Odyssey,Mars Odyssey (spacecraft), 2001-APR-07 16:23:55.8143 UT, 2022-APR-13 23:58:50.8144 UT
27,-530,Mars Pathfinder,Mars Pathfinder (spacecraft), 1997-FEB-04 02:29:56.8151 UT, 1998-DEC-31 23:58:56.8161 UT
28,-55,Ulysses,Ulysses (spacecraft), 1990-OCT-06 19:04:02.8177 UT, 2050-JAN-01 11:58:50.8161 UT
29,-61,Juno,Juno (spacecraft), 2011-AUG-05 17:18:06.0000 UT, 2025-OCT-20 23:58:50.8176 UT
30,-62,EMM,EMM (spacecraft), 2020-JUL-19 23:05:26.3010 UT, 2022-MAR-24 00:00:50.8144 UT
31,-64,OSIRIS-REx,OSIRIS-REx (spacecraft), 2016-SEP-08 23:05:00.0999 UT, 2023-SEP-30 23:58:50.8177 UT
32,-65,MarCO-A,MarCO-A (spacecraft), 2018-MAY-05 12:39:41.8146 UT, 2020-JAN-01 11:58:50.8161 UT
33,-66,MarCO-B,MarCO-B (spacecraft), 2018-MAY-05 12:39:41.8146 UT, 2020-JAN-01 11:58:50.8161 UT
34,-70,Deep Impact IMPACTOR,Deep Impact IMPACTOR (spacecraft), 2005-JAN-12 19:22:27.8840 UT, 2005-JUL-04 05:45:34.0000 UT
35,-72,Janus-B,Janus-B (spacecraft), 2022-AUG-01 11:58:54.8170 UT,
36,-74,Mars Reconnaissance Orbiter,Mars Reconnaissance Orbiter (spacecraft), 2005-AUG-12 12:40:51.8170 UT, 2022-JAN-10 22:22:20.8158 UT
37,-76,Mars Science Laboratory,Mars Science Laboratory (spacecraft), 2011-NOV-26 15:51:06.2000 UT, 2099-DEC-31 23:58:50.8161 UT
38,-74900,MRO Centaur Stage,MRO Centaur Stage (spacecraft), 2005-AUG-12 13:36:28.8000 UT, 2005-AUG-28 23:58:55.8173 UT
39,-77,Galileo,Galileo (spacecraft), 1989-OCT-19 01:28:37.0780 UT, 2003-SEP-30 11:58:55.8177 UT
40,-78,DSCOVR,DSCOVR (spacecraft), 2015-FEB-11 23:44:00.0000 UT, 2023-MAY-28 23:59:59.9990 UT
41,-79,Spitzer Space Telescope SST SIRTF,Spitzer Space Telescope, 2003-AUG-25 06:25:39.0003 UT, 2120-JAN-01 00:03:50.8161 UT
42,-82,Cassini,Cassini (spacecraft), 1997-OCT-15 09:26:08.3900 UT, 2017-SEP-15 11:56:50.8176 UT
43,-84,Phoenix,Phoenix (spacecraft), 2007-AUG-04 10:46:01.3318 UT, 2008-DEC-31 23:58:54.8161 UT
44,-85,LRO,LRO (spacecraft), 2009-JUN-18 22:16:00.0000 UT, 2023-JUN-12 00:00:00.0000 UT
45,-86,Chandrayaan-1,Chandrayaan-1 (spacecraft), 2016-JUL-02 12:58:51.8159 UT, 2022-SEP-30 23:58:50.8177 UT
46,-93,NEAR,NEAR (spacecraft), 1996-FEB-19 01:58:57.8148 UT, 2009-DEC-31 23:58:53.8161 UT
47,-95,TESS,TESS (spacecraft), 2018-APR-18 23:35:30.6660 UT, 2023-JUN-14 13:00:00.0000 UT
48,-96,Parker Solar Probe,Parker Solar Probe (spacecraft), 2018-AUG-12 08:15:14.1601 UT, 2025-AUG-31 13:05:00.9500 UT
49,-98,New Horizons,New Horizons (spacecraft), 2006-JAN-19 19:50:13.1460 UT, 2025-JAN-01 11:58:50.8161 UT
50,-111,ICE,ICE (spacecraft), 2013-DEC-31 23:58:52.8161 UT, 2015-DEC-31 23:58:51.8161 UT
51,-130,Hayabusa,Hayabusa (spacecraft), 2009-JAN-26 04:19:42.0000 UT, 2010-JUN-13 13:51:11.2594 UT
52,-135,DART,DART (spacecraft), 2021-NOV-24 07:16:43.7380 UT, 2022-OCT-17 23:14:18.1108 UT
53,-140,Deep Impact Flyby - EPOXI,Deep Impact Flyby - EPOXI (spacecraft), 2005-JAN-12 19:22:27.8840 UT, 2020-JAN-09 23:58:50.8158 UT
54,-143,ExoMars16 TGO,ExoMars16 TGO (spacecraft), 2016-MAR-14 08:13:00.8144 UT, 2024-MAR-03 06:27:31.6730 UT
55,-144,Solar Orbiter,Solar Orbiter (spacecraft), 2020-FEB-10 04:55:49.6700 UT, 2030-NOV-20 03:52:33.4250 UT
56,-150,Cassini Huygens,Cassini Huygens (spacecraft), 2004-DEC-25 01:59:59.9993 UT, 2005-JAN-14 12:05:54.6067 UT
57,-151,Chandra Observatory,Chandra Observatory (spacecraft), 1999-AUG-07 07:30:00.0000 UT, 2022-MAR-27 11:59:59.9994 UT
58,-152,Chandrayaan-2 (ORBITER spacecraft) CH2 CH-2,Chandrayaan-2 (ORBITER spacecraft), 2019-JUL-22 09:29:45.8400 UT, 2022-JAN-06 07:00:00.0000 UT
59,-153,Chandrayaan-2 (LANDER spacecraft) CH2 CH-2 Vikram,Chandrayaan-2 (LANDER spacecraft), 2019-JUL-22 09:29:45.8400 UT, 2019-SEP-06 20:26:50.8175 UT
60,-159,Europa Clipper,Europa Clipper (spacecraft), 2022-JUN-03 12:00:00.0000 UT,
61,-163,WISE,WISE (spacecraft), 2009-DEC-14 15:00:00.0000 UT, 2022-JAN-12 19:37:29.7794 UT
62,-165,WMAP,WMAP (spacecraft), 2001-JUN-30 21:13:59.9999 UT, 2009-APR-07 10:14:58.9983 UT
63,-168,Mars2020,Mars2020 (spacecraft), 2020-JUL-30 12:51:34.4600 UT, 2026-FEB-18 23:58:50.8148 UT
64,-170,James Webb Space Telescope,James Webb Space Telescope (spacecraft), 2021-DEC-22 12:48:00.0000 UT,
65,-176,GRAIL-SS Second Stage,GRAIL-SS Second Stage (spacecraft), 2011-SEP-12 00:05:00.0000 UT, 2061-AUG-30 00:04:56.9998 UT
66,-177,GRAIL-A,GRAIL-A (spacecraft), 2011-SEP-10 13:08:52.0000 UT, 2012-DEC-17 22:28:47.2471 UT
67,-178,Nozomi,Nozomi (spacecraft), 1999-FEB-08 12:00:00.0000 UT, 2003-DEC-13 23:58:55.8166 UT
68,-181,GRAIL-B,GRAIL-B (spacecraft), 2011-SEP-10 13:08:52.0000 UT, 2012-DEC-17 22:29:15.9018 UT
69,-189,InSight,InSight (spacecraft), 2018-MAY-05 12:38:19.7800 UT, 2099-DEC-31 23:58:50.8161 UT
70,-192,THEMIS-B,THEMIS-B (spacecraft), 2007-FEB-18 00:14:00.0000 UT, 2022-JAN-13 00:00:00.0000 UT
71,-193,THEMIS-C,THEMIS-C (spacecraft), 2007-FEB-18 00:14:00.0000 UT, 2022-JAN-13 00:00:00.0000 UT
72,-198,INTEGRAL,INTEGRAL (spacecraft), 2002-OCT-17 16:10:54.1820 UT, 2022-JAN-05 15:49:59.9990 UT
73,-202,MAVEN,MAVEN (spacecraft), 2013-NOV-18 19:20:42.1600 UT, 2022-JAN-22 21:46:50.8155 UT
74,-203,Dawn,Dawn (spacecraft), 2007-SEP-27 12:39:44.6500 UT, 2043-OCT-29 23:58:50.8175 UT
75,-226,Rosetta,Rosetta (spacecraft), 2004-MAR-02 09:25:55.8146 UT, 2016-OCT-04 23:59:59.9997 UT
76,-227,Kepler,Kepler (spacecraft), 2009-MAR-07 04:55:36.3905 UT, 2201-FEB-19 23:58:50.8149 UT
77,-234,STEREO-A,STEREO-A (spacecraft), 2006-OCT-26 00:00:00.0000 UT, 2022-MAR-23 00:00:00.0000 UT
78,-235,STEREO-B,STEREO-B (spacecraft), 2006-OCT-26 01:00:00.0000 UT, 2030-JUL-28 23:59:58.9996 UT
79,-234900,STEREO Third Stage,STEREO Third Stage (spacecraft), 2006-OCT-26 00:52:00.3390 UT, 2006-NOV-06 00:48:26.2064 UT
80,-236,MESSENGER,MESSENGER (spacecraft), 2004-AUG-03 07:13:35.2100 UT, 2015-MAY-01 18:48:49.9995 UT
81,-248,Venus Express,Venus Express (spacecraft), 2005-NOV-09 05:03:57.3664 UT, 2014-DEC-31 23:38:54.6401 UT
82,-253,Opportunity,Opportunity (spacecraft), 2003-JUL-08 04:35:58.0001 UT, 2099-DEC-31 23:58:50.8161 UT
83,-254,Spirit,Spirit (spacecraft), 2003-JUN-10 18:30:18.9993 UT, 2099-DEC-31 23:58:50.8161 UT
84,-344,Galileo Probe,Galileo Probe (spacecraft), 1995-JUL-13 05:30:01.3330 UT, 1995-DEC-07 22:05:58.8168 UT
85,-486,Herschel Space Observatory,Herschel Space Observatory (spacecraft), 2009-MAY-14 13:37:58.5377 UT, 2049-DEC-31 23:59:58.0000 UT
86,-489,Planck Space Observatory,Planck Space Observatory (spacecraft), 2009-MAY-14 13:40:28.8907 UT, 2049-DEC-31 23:59:58.0000 UT
87,-490,Lucy Centaur RB Stage,Lucy Centaur RB Stage (spacecraft), 2021-OCT-16 10:31:59.1406 UT, 2023-DEC-31 23:58:50.8161 UT
88,-557,Spektr-R Observatory,Spektr-R Observatory (spacecraft), 2011-JUN-18 06:06:58.9985 UT, 2021-DEC-20 16:42:25.1293 UT
89,-610,Juno Centaur Stage,Juno Centaur Stage (spacecraft), 2011-AUG-05 18:12:51.0200 UT, 2111-AUG-06 18:12:48.0200 UT
90,-640,Infrared Space Observatory,Infrared Space Observatory (spacecraft), 1995-NOV-17 00:36:43.9776 UT, 1998-JUL-16 03:00:00.0000 UT
91,-760,MSL Centaur Stage,MSL Centaur Stage (spacecraft), 2011-NOV-26 16:45:46.2000 UT, 2012-MAR-01 00:03:53.8146 UT
93,-399080,Apollo 8 S-IVB,Apollo 8 S-IVB (spacecraft), 1968-DEC-21 16:03:59.3000 UT, 1968-DEC-31 00:06:00.0000 UT
94,-399090,Apollo 9 S-IVB,Apollo 9 S-IVB (spacecraft), 1969-MAR-03 23:37:50.0000 UT, 1969-MAR-11 00:06:00.0000 UT
95,-399100,Apollo 10 S-IVB,Apollo 10 S-IVB (spacecraft), 1969-MAY-18 19:43:42.4000 UT, 1969-MAY-29 00:06:00.0000 UT
96,-399101,Apollo 10 LM,Apollo 10 LM (spacecraft), 1969-MAY-23 05:37:14.5000 UT, 1969-MAY-28 00:06:00.0000 UT
97,-399110,Apollo 11 S-IVB,Apollo 11 S-IVB (spacecraft), 1969-JUL-16 16:39:23.0000 UT, 1969-JUL-28 00:06:00.0000 UT
98,-399120,Apollo 12 S-IVB,Apollo 12 S-IVB (spacecraft), 1969-NOV-14 19:32:04.9000 UT, 1969-DEC-06 00:06:00.0000 UT
